u,v
BHIWANI106KM,KALANAURKALA
KALANAURKALA,ROHTAK59KMHR
ROHTAK59KMHR,BAHADURGARH1
BAHADURGARH1,NANGLOI113KM
NANGLOI113KM,SHAKURBASTI5
SHAKURBASTI5,NEWDELHI33KM
NEWDELHI33KM,KANPURCENTRA
KANPURCENTRA,UNNAO33KMHR
UNNAO33KMHR,LUCKNOW80KMH
LUCKNOW80KMH,BARABANKI68K
BARABANKI68K,GONDA102KMHR
GONDA102KMHR,MANKAPUR83KM
MANKAPUR83KM,BABHNAN136KM
BABHNAN136KM,GAUR
GAUR,ADSBYGOOGLEW
ADSBYGOOGLEW,BASTI
BASTI,KHALILABAD
KHALILABAD,GORAKHPUR
MANIKPUR,BAHILPURWA70
BAHILPURWA70,KHOH105KMHR
KHOH105KMHR,CHITRAKOT78K
CHITRAKOT78K,SHIVRAMPUR85
SHIVRAMPUR85,BHARATKUP135
BHARATKUP135,BADAUSA95KMH
BADAUSA95KMH,ATARRA85KMHR
ATARRA85KMHR,KHURHAND88KM
KHURHAND88KM,DINGWAHI85KM
DINGWAHI85KM,BANDA66KMHR
BANDA66KMHR,KHAIRAR72KMH
KHAIRAR72KMH,MATAUNDH86KM
MATAUNDH86KM,KABRAI105KMH
KABRAI105KMH,BARIPURA
BARIPURA,MAHOBA12KMHR
MAHOBA12KMHR,CHARKHARIROA
CHARKHARIROA,KULPAHAR64KM
KULPAHAR64KM,BELATAL95KMH
BELATAL95KMH,GHUTAI
GHUTAI,HARPALPUR10K
HARPALPUR10K,RORA105KMHR
RORA105KMHR,ADSBYGOOGLEW
ADSBYGOOGLEW,MAURANIPUR
MAURANIPUR,RANIPURROAD
RANIPURROAD,TEHARKA
TEHARKA,MAGARPUR
MAGARPUR,NIVARI
NIVARI,BARWASAGAR
BARWASAGAR,ORCHHA
ORCHHA,VIRANGANALAK
SHORANUR,PATTAMBI80KM
PATTAMBI80KM,PALLIPPURAM1
PALLIPPURAM1,KUTTIPPURAM7
KUTTIPPURAM7,TIRUNNAVAYA8
TIRUNNAVAYA8,TIRUR108KMHR
TIRUR108KMHR,TANUR109KMHR
TANUR109KMHR,PARPANANGADI
PARPANANGADI,VALLIKUNNU
VALLIKUNNU,KADALUNDI95K
KADALUNDI95K,FEROK66KMHR
FEROK66KMHR,KALLAYI128KM
KALLAYI128KM,KOZHIKKODE35
KOZHIKKODE35,VELLAYIL
VELLAYIL,WESTHILL95KM
WESTHILL95KM,ELATTUR128KM
ELATTUR128KM,CHEMANCHERI
CHEMANCHERI,QUILANDI78KM
QUILANDI78KM,VELLARAKKAD
VELLARAKKAD,TIKKOTTI28KM
TIKKOTTI28KM,PAYYOLI
PAYYOLI,IRINGAL
IRINGAL,VADAKARA62KM
VADAKARA62KM,NADAPURAMROA
NADAPURAMROA,MUKKALI
MUKKALI,MAHE39KMHR
MAHE39KMHR,JGNTHTMPLGTE
JGNTHTMPLGTE,THALASSERY12
THALASSERY12,DHARMADAM
DHARMADAM,ETAKKOT31KMH
ETAKKOT31KMH,ADSBYGOOGLEW
ADSBYGOOGLEW,KANNURSOUTH
KANNURSOUTH,KANNUR
THIRUVANANTH,VARKALA87KMH
VARKALA87KMH,KOLLAM91KMHR
KOLLAM91KMHR,KAYANKULAM11
KAYANKULAM11,MAVELIKARA75
MAVELIKARA75,CHENGANNUR95
CHENGANNUR95,TIRUVALLA77K
TIRUVALLA77K,CHANGANASSER
CHANGANASSER,KOTTAYAM81KM
KOTTAYAM81KM,ERNAKULAMTOW
ERNAKULAMTOW,ALUVA95KMHR
ALUVA95KMHR,THRISUR63KMH
THRISUR63KMH,PALAKKAD105K
PALAKKAD105K,PODANUR66KMH
PODANUR66KMH,TIRUPPUR85KM
TIRUPPUR85KM,ERODE81KMHR
ERODE81KMHR,SALEM97KMHR
SALEM97KMHR,BANGARAPET12
BANGARAPET12,KRISHNARAJAP
