train_id,station_code,arr_sched,arr_actual,dep_sched,dep_actual,arr_delay,dep_delay
53611_2025-11-02,KAJRI87KMHR,2025-11-02 06:04,,2025-11-02 06:06,,,
53611_2025-11-02,RAJHURA53KMH,2025-11-02 06:15,,2025-11-02 06:17,,,
53611_2025-11-02,LALGARHBIHAR,,,,,,
53611_2025-11-02,TOLRA6KMHR,2025-11-02 06:34,,2025-11-02 06:36,,,
53611_2025-11-02,GARWAROAD55K,2025-11-02 07:05,,2025-11-02 07:10,,,
53611_2025-11-02,SIGSIGI37KMH,2025-11-02 07:20,,2025-11-02 07:22,,,
53611_2025-11-02,KARKATA66KMH,2025-11-02 07:28,,2025-11-02 07:30,,,
53611_2025-11-02,UNTAREROAD70,2025-11-02 07:37,,2025-11-02 07:39,,,
53611_2025-11-02,SATBAHINI66K,2025-11-02 07:45,,2025-11-02 07:47,,,
53611_2025-11-02,MUHAMMADGANJ,2025-11-02 07:54,,2025-11-02 07:56,,,
53611_2025-11-02,ADSBYGOOGLEW,,,,,,
53611_2025-11-02,KOSIARA,2025-11-02 08:05,,2025-11-02 08:07,,,
53611_2025-11-02,HAIDARNAGAR,2025-11-02 08:12,,2025-11-02 08:14,,,
53611_2025-11-02,JAPLA,2025-11-02 08:23,,2025-11-02 08:28,,,
53611_2025-11-02,KAJRATNAWADI,2025-11-02 08:33,,2025-11-02 08:35,,,
53611_2025-11-02,NABINAGARROA,2025-11-02 08:43,,2025-11-02 08:45,,,
53611_2025-11-02,BARKISALALYA,2025-11-02 08:52,,2025-11-02 08:54,,,
53611_2025-11-02,ANKORAHAKORH,2025-11-02 09:01,,2025-11-02 09:03,,,
53611_2025-11-02,BAGAHABISHUN,2025-11-02 09:11,,2025-11-02 09:13,,,
53611_2025-11-02,SONNAGAR,2025-11-02 09:28,,2025-11-02 09:30,,,
53611_2025-11-02,DEHRIONSONE,,,,,,
55131_2025-11-02,BALLIA,,,2025-11-02 05:00,,,
55131_2025-11-02,SAGARPALI,,,,,,
55131_2025-11-02,PHEPHNA2KMHR,2025-11-02 05:15,,2025-11-02 05:17,,,
55131_2025-11-02,CHITBARAGAON,2025-11-02 05:23,,2025-11-02 05:25,,,
55131_2025-11-02,TAJPURDEHMA,,,,,,
55131_2025-11-02,KARIMUDDINPU,2025-11-02 05:40,,2025-11-02 05:42,,,
55131_2025-11-02,DHONDHADIH,,,,,,
55131_2025-11-02,YUSUFPUR4KMH,2025-11-02 05:58,,2025-11-02 06:00,,,
55131_2025-11-02,SHAHBAZKULI,,,,,,
55131_2025-11-02,FATEHPURATWA,,,,,,
55131_2025-11-02,GHAZIPURGHAT,,,,,,
55131_2025-11-02,GHAZIPURCITY,2025-11-02 06:25,,2025-11-02 06:30,,,
55131_2025-11-02,ANKUSPUR95KM,2025-11-02 06:41,,2025-11-02 06:43,,,
55131_2025-11-02,SAHERI,,,,,,
55131_2025-11-02,NANDGANJ2KMH,2025-11-02 06:55,,2025-11-02 06:57,,,
55131_2025-11-02,ADSBYGOOGLEW,,,,,,
55131_2025-11-02,BASUCHAK,,,,,,
55131_2025-11-02,TARAON,,,,,,
55131_2025-11-02,SAIYEDPURBHT,2025-11-02 07:17,,2025-11-02 07:19,,,
55131_2025-11-02,AUNRIHAR,2025-11-02 07:28,,2025-11-02 07:30,,,
55131_2025-11-02,SIDHAOUNARAM,2025-11-02 07:40,,2025-11-02 07:41,,,
55131_2025-11-02,RAJAWARI,2025-11-02 07:44,,2025-11-02 07:46,,,
