u,v
BANDRATERMIN,BORIVALI49KM
BORIVALI49KM,VAPI43KMHR
VAPI43KMHR,VALSAD
VALSAD,ADSBYGOOGLEW
ADSBYGOOGLEW,SURAT
SURAT,BHARUCH
BHARUCH,VADODARA
VADODARA,SABARMATIBG
SABARMATIBG,MAHESANA
MAHESANA,PALANPUR
PALANPUR,ABUROAD
ABUROAD,PINDWARA
PINDWARA,JAWAIBANDH
JAWAIBANDH,FALNA
FALNA,RANI
RANI,MARWAR
MARWAR,PALIMARWAR
PALIMARWAR,LUNI
LUNI,BHAGATKIKOTH
