u,v
HWH,BWN
BWN,DGR
DGR,ASN
ASN,CRJ
CRJ,JMT
JMT,MDP
MDP,JSME
JSME,JAJ
JAJ,MKA
MKA,BARH
BARH,BKP
BKP,PNBE
PNBE,DNR
DNR,ARA
ARA,BXR
BXR,DDU
DDU,NYN
NYN,PRYJ
PRYJ,CNB
CNB,ETW
ETW,TDL
TDL,ALJN
ALJN,NDLS
